input_size,image,expected_class,condition,detections_count,detected_classes,detected_confidences,status,policy_decision,policy_reason,recommended_action
640,can/can_angle_view_002.jpg.jpg,can,angle_view,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,can/can_clutter_bg_005.jpg.jpg,can,clutter_bg,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,can/can_crushed_008.jpg.jpg,can,crushed,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,can/can_dark_light_003.jpg.jpg,can,dark_light,1,paper_cup,0.80,misclassified,ACCEPT_SORT,known_high_confidence,SORT
640,can/can_edge_frame_006.jpg.jpg,can,edge_frame,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,can/can_hard_case_010.jpg.jpg,can,hard_case,1,plastic_bottle,0.55,misclassified,ACCEPT_SORT,known_high_confidence,SORT
640,can/can_multi_object_009.jpg.jpg,can,multi_object,1,unknown,0.94,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
640,can/can_normal_front_001.jpg.jpg,can,normal_front,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,can/can_partial_cut_007.jpg.jpg,can,partial_cut,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,can/can_small_far_004.jpg.jpg,can,small_far,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,glass_bottle/glass_bottle_angle_view_002.jpg.jpg,glass_bottle,angle_view,0,,,no_detection,SKIP_NO_DETECTION,no_detection,SKIP
640,glass_bottle/glass_bottle_clutter_bg_005.jpg.jpg,glass_bottle,clutter_bg,4,unknown+paper_cup+unknown+unknown,0.93+0.88+0.72+0.61,misclassified,MANUAL_REVIEW,too_many_detections,MANUAL_REVIEW
640,glass_bottle/glass_bottle_dark_light_003.jpg.jpg,glass_bottle,dark_light,2,unknown+paper_cup,0.52+0.51,misclassified,ROUTE_TO_REJECT,ambiguous_multi_detection,REJECT
640,glass_bottle/glass_bottle_edge_frame_006.jpg.jpg,glass_bottle,edge_frame,1,paper_cup,0.89,misclassified,ACCEPT_SORT,known_high_confidence,SORT
640,glass_bottle/glass_bottle_hard_case_010.jpg.jpg,glass_bottle,hard_case,3,plastic_bottle+unknown+plastic_bottle,0.92+0.83+0.58,misclassified,ROUTE_TO_REJECT,ambiguous_multi_detection,REJECT
640,glass_bottle/glass_bottle_multi_object_009.jpg.jpg,glass_bottle,multi_object,1,unknown,0.92,misclassified,ROUTE_TO_REJECT,unknown_object,REJECT
640,glass_bottle/glass_bottle_normal_front_001.jpg.jpg,glass_bottle,normal_front,1,paper_cup,0.81,misclassified,ACCEPT_SORT,known_high_confidence,SORT
